username,category,posts_per_week,follower_growth_rate_per_day,follow_follower_ratio,avg_likes_per_post,avg_comments_per_post,avg_time_between_posts_hrs,outbound_likes_per_day,outbound_comments_per_day
@user1,fashion,6.5,7.4,0.09,360,291,25.8,64,40
@user2,fitness,2.1,61.3,0.75,840,55,80.0,262,5
@user3,tech,2.4,71.1,0.65,1778,130,70.0,59,29
@user4,food,4.8,82.4,0.46,4101,142,35.0,119,21
@user5,travel,1.5,42.7,0.61,4935,125,112.0,80,27
@user6,tech,6.3,20.2,0.67,3612,115,26.7,55,47
@user7,art,1.6,59.0,0.4,2167,85,105.0,52,4
@user8,fitness,4.5,34.4,0.61,3094,108,37.3,300,50
@user9,business,3.1,26.1,0.08,885,57,54.2,143,44
@user10,music,0.6,24.9,0.13,4818,148,280.0,73,16
@user11,travel,4.9,64.9,0.48,3476,236,34.3,191,29
@user12,tech,1.6,64.8,0.62,494,167,105.0,65,5
@user13,fitness,1.7,5.1,0.96,1636,218,98.8,27,5
@user14,tech,4.0,22.3,0.2,3837,160,42.0,265,28
@user15,fitness,4.0,67.9,0.96,3386,124,42.0,15,21
@user16,travel,5.5,66.9,0.3,1140,178,30.5,152,36
@user17,food,6.9,32.8,0.88,116,89,24.3,279,12
@user18,travel,1.4,38.8,0.98,4890,272,120.0,52,18
@user19,business,1.3,61.9,0.41,3253,46,129.2,125,23
@user20,fitness,6.6,99.7,0.54,4493,22,25.5,203,19
@user21,music,5.1,2.4,0.18,2704,246,32.9,230,37
@user22,art,1.3,24.3,0.9,3925,25,129.2,62,26
@user23,fitness,5.2,74.5,0.14,3333,165,32.3,34,41
@user24,travel,3.8,70.6,0.97,1668,13,44.2,84,40
@user25,travel,3.0,36.4,0.65,2419,205,56.0,69,13
@user26,travel,3.1,7.9,0.86,2615,38,54.2,229,11
@user27,food,5.3,36.4,0.91,4708,246,31.7,53,2
@user28,travel,4.5,30.5,0.89,4620,102,37.3,239,5
@user29,travel,3.1,73.8,0.8,180,294,54.2,187,29
@user30,fitness,6.4,13.2,0.41,4753,33,26.2,116,34
@user31,business,2.4,47.5,0.99,1074,239,70.0,214,27
@user32,travel,3.0,79.1,0.78,4672,108,56.0,34,11
@user33,fitness,4.3,18.6,0.46,1025,139,39.1,135,7
@user34,fitness,5.4,76.7,0.66,4578,194,31.1,172,2
@user35,art,6.1,42.0,0.25,2972,45,27.5,170,8
@user36,music,6.1,3.5,0.46,949,245,27.5,127,26
@user37,travel,3.6,53.3,0.8,244,128,46.7,160,41
@user38,music,1.4,11.7,0.64,4156,250,120.0,151,12
@user39,fashion,5.1,66.3,0.81,2881,149,32.9,180,31
@user40,art,6.3,45.3,0.35,363,213,26.7,237,2
@user41,food,6.3,41.0,0.64,3945,112,26.7,42,31
@user42,fashion,3.5,27.6,0.36,3129,124,48.0,35,18
@user43,fashion,5.7,94.1,0.94,3342,106,29.5,260,13
@user44,fashion,1.2,66.2,0.9,2955,155,140.0,87,23
@user45,art,2.1,41.1,0.84,1981,37,80.0,89,8
@user46,art,5.8,82.5,0.27,2052,189,29.0,71,39
@user47,business,3.9,88.5,0.2,3443,249,43.1,274,33
@user48,fashion,2.0,90.9,0.45,278,94,84.0,88,18
@user49,music,3.8,27.0,0.14,3077,14,44.2,181,48
@user50,business,7.0,21.0,0.89,2501,115,24.0,223,40
@user51,food,6.5,33.3,0.38,4257,265,25.8,59,42
@user52,music,5.1,9.0,0.84,1748,224,32.9,213,5
@user53,art,3.4,48.3,0.68,1198,104,49.4,31,15
@user54,music,4.0,6.0,0.25,1285,16,42.0,82,23
@user55,tech,4.6,45.3,0.75,2900,27,36.5,258,22
@user56,food,5.0,19.2,0.68,1703,164,33.6,181,39
@user57,food,3.4,67.3,0.42,1183,259,49.4,177,46
@user58,music,4.6,32.8,0.26,1830,51,36.5,296,21
@user59,music,3.8,7.0,0.6,355,155,44.2,72,15
@user60,tech,4.4,57.9,0.77,1394,300,38.2,137,15
@user61,music,1.0,53.5,0.9,1723,148,168.0,258,23
@user62,fitness,5.0,80.2,0.82,2001,136,33.6,104,43
@user63,travel,5.7,89.5,0.68,4538,55,29.5,244,2
@user64,travel,3.7,15.2,0.62,558,252,45.4,134,18
@user65,food,5.4,71.8,0.59,687,219,31.1,174,41
@user66,business,3.7,49.9,0.66,188,229,45.4,138,47
@user67,fashion,1.1,20.3,0.63,2291,130,152.7,103,35
@user68,fitness,5.6,7.3,0.14,4125,49,30.0,266,12
@user69,music,2.4,50.0,0.69,3166,106,70.0,60,25
@user70,music,4.8,28.3,0.42,2428,235,35.0,152,4
@user71,food,2.0,81.9,0.1,712,160,84.0,102,26
@user72,fashion,4.1,75.1,0.75,266,261,41.0,102,4
@user73,fitness,6.2,74.6,0.58,1772,139,27.1,120,48
@user74,fashion,6.2,52.6,0.87,4619,114,27.1,132,39
@user75,fitness,3.2,95.8,0.3,164,89,52.5,270,8
@user76,music,4.8,77.9,0.33,2647,259,35.0,87,26
@user77,travel,5.3,52.7,0.56,3460,167,31.7,53,13
@user78,art,3.0,41.5,0.17,848,295,56.0,141,7
@user79,business,3.8,3.2,0.35,2462,8,44.2,85,6
@user80,tech,5.4,31.6,0.66,1350,48,31.1,295,47
@user81,music,3.9,41.5,0.96,534,97,43.1,148,16
@user82,tech,3.0,48.7,0.19,3436,15,56.0,16,7
@user83,fitness,4.9,61.0,0.29,2799,238,34.3,193,22
@user84,food,1.7,94.1,0.6,4942,166,98.8,22,8
@user85,food,1.0,5.5,0.07,3553,171,168.0,22,39
@user86,fashion,6.0,52.6,0.57,459,201,28.0,43,7
@user87,travel,2.7,91.3,0.14,1395,211,62.2,289,44
@user88,food,3.6,54.1,0.42,3493,47,46.7,272,17
@user89,travel,2.7,65.8,0.41,2792,83,62.2,125,28
@user90,food,1.4,89.4,0.69,387,180,120.0,54,38
@user91,business,5.8,95.6,0.16,4066,59,29.0,237,2
@user92,travel,1.1,65.7,0.42,718,162,152.7,168,38
@user93,music,2.1,88.0,0.94,1856,298,80.0,172,40
@user94,fitness,1.6,47.7,0.53,3409,293,105.0,74,41
@user95,music,4.9,9.9,0.8,2553,13,34.3,23,48
@user96,fitness,3.3,29.9,0.1,4705,153,50.9,179,49
@user97,art,1.9,15.2,0.58,2150,86,88.4,55,17
@user98,fashion,3.9,80.5,0.51,2689,230,43.1,84,43
@user99,fashion,6.6,66.6,0.47,2681,184,25.5,279,40
@user100,travel,3.5,38.6,0.41,3298,274,48.0,91,37
@user101,food,6.3,67.4,0.16,3288,134,26.7,191,37
@user102,food,3.6,27.5,0.7,4327,22,46.7,35,35
@user103,travel,4.5,39.0,0.17,2138,266,37.3,54,23
@user104,business,0.7,8.3,0.38,2317,232,240.0,128,23
@user105,fashion,2.8,65.0,0.37,3600,178,60.0,260,33
@user106,business,3.8,76.5,0.07,2165,41,44.2,144,12
@user107,fashion,4.4,41.2,0.09,2048,14,38.2,33,28
@user108,food,4.6,58.2,1.0,1670,218,36.5,195,46
@user109,fitness,4.0,56.3,0.66,4021,224,42.0,68,31
@user110,tech,1.1,92.8,0.4,2857,215,152.7,232,12
@user111,fitness,4.2,15.7,0.41,1642,245,40.0,295,29
@user112,fitness,5.4,13.0,0.23,848,100,31.1,166,2
@user113,food,2.8,93.4,0.59,598,54,60.0,181,14
@user114,fashion,5.2,6.7,0.07,2696,171,32.3,25,4
@user115,business,3.2,21.9,0.81,4220,150,52.5,234,36
@user116,music,3.0,49.6,0.3,4553,266,56.0,195,9
@user117,business,3.7,1.9,0.51,4941,153,45.4,196,44
@user118,business,2.7,7.8,0.49,3747,276,62.2,11,8
@user119,tech,0.6,22.0,0.16,355,197,280.0,98,45
@user120,business,3.4,87.2,0.33,127,199,49.4,125,29
@user121,food,4.4,17.0,0.73,4413,221,38.2,189,9
